,text,
2,"【M4.4】WESTERN IRAN 10.0km 2019/10/28 23:13:03JST, 2019/10/28 14:13:03UTC
(G)https://t.co/eQsEBSSAGE (USGS)https://t.co/Bq4D9ZRq90",0
0,"Ml 2.54 earthquake (reviewed) occured at 2019-10-28T16:48:02 UTC, 2km ESE of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
1,"Ml 2.54 earthquake (reviewed) occured at 2019-10-28T16:48:02 UTC, 2km SE of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
2,"Ml 2.83 earthquake (automatic) occured at 2019-10-28T16:48:03 UTC, 2km SE of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
3,"2.8 magnitude #earthquake. 5 km from Quinton, OK, #UnitedStates https://t.co/bM7b9MHgHK",1
4,"Ml 2.83 earthquake (automatic) occured at 2019-10-28T16:48:03 UTC, 4km E of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
5,"USGS reports a M2.61 #earthquake 5km E of Quinton, Oklahoma on 10/28/19 @ 16:48:02 UTC https://t.co/f5IWMPvwwh #quake",1
6,"Ml 2.61 earthquake (automatic) occured at 2019-10-28T16:48:02 UTC, 5km E of Quinton, Oklahoma https://t.co/GXO4AoQaC5",1
7,"Ml 2.74 earthquake (reviewed) occured at 2019-10-28T13:23:44 UTC, 3km NW of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
8,"Ml 2.86 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 3km NW of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
9,"Ml 2.86 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 4km ESE of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
10,"2.7 magnitude #earthquake. 5 km from #Quinton, OK, #UnitedStates https://t.co/xpBxsbAMn5",1
11,"Ml 2.67 earthquake (automatic) occured at 2019-10-28T13:23:44 UTC, 4km ESE of Quinton, Oklahoma https://t.co/XpZY4ud1jV",1
12,USGS reports a M2.67 #earthquake Oklahoma on 10/28/19 @ 13:23:44 UTC https://t.co/38F2DLSQJ4 #quake,1
13,"1.9 magnitude #earthquake. 1 km from Quinton, #OK, United States https://t.co/24mqoTfZuH",1
14,"USGS reports a M1.93 #earthquake 0km NNE of Quinton, Oklahoma on 10/25/19 @ 17:44:49 UTC https://t.co/zsDiLATGZf #quake",1
15,"2.0 magnitude #earthquake. 2 km from Quinton, OK, #UnitedStates https://t.co/3Vj3YouHuC",1
16,"Ml 2.48 earthquake (reviewed) occured at 2019-10-23T13:41:39 UTC, 1km N of Quinton, Oklahoma https://t.co/pSVOVxNhA4",1
17,"Ml 2.87 earthquake (automatic) occured at 2019-10-23T13:41:39 UTC, 3km ESE of Quinton, Oklahoma https://t.co/pSVOVxNhA4",1
18,"USGS reports a M2.81 #earthquake 3km ESE of Quinton, Oklahoma on 10/23/19 @ 13:41:39 UTC https://t.co/1Uv20pygGv #quake",1
19,"2.8 magnitude #earthquake. 3 km from #Quinton, OK, United States https://t.co/yHpRbXCJmM",1
20,"Ml 2.81 earthquake (automatic) occured at 2019-10-23T13:41:39 UTC, Oklahoma https://t.co/pSVOVxNhA4",1
0,"Alaska, United States of America
ML 2.7 (11 min ago)
39km 61.69°N 150.87°W
Oct 28, 2019 13:04:53 UTC
#earthquake",0
1,"Ml 2.6 earthquake (automatic) occured at 2019-10-28T13:04:53 UTC, 44km W of Willow, Alaska https://t.co/znEoq7CY8c",1
2,"Alaska, United States of America
ML 2.7 (10 min ago)
39km 61.69°N 150.87°W
Oct 28, 2019 13:04:53 UTC
#earthquake",1
3,"2.7 magnitude #earthquake. 44 km from Willow, #AK, United States https://t.co/SHySXwUYTW",1
4,"USGS reports a M2.7 #earthquake 44km W of Willow, Alaska on 10/28/19 @ 13:04:53 UTC https://t.co/w6yjnBa9W9 #quake",1
5,"Ml 2.7 earthquake (automatic) occured at 2019-10-28T13:04:53 UTC, 44km W of Willow, Alaska https://t.co/znEoq7CY8c",1
6,"1.5 magnitude #earthquake. 42 km from Willow, #AK, United States https://t.co/0yuwkupI1z",1
7,"USGS reports a M1.5 #earthquake 41km W of Willow, Alaska on 10/28/19 @ 7:50:03 UTC https://t.co/hVaa7IiPiW #quake",1
0,"Ml 3.62 earthquake (reviewed) occured at 2019-10-28T11:46:34 UTC, 117km WSW of Gold Beach, OR https://t.co/iAUsRpbaqz",1
1,"#Warning #Earthquake: 3.62 Ml, 117 Km West-Southwest of Gold Beach, OR. 2019/10/28. #OR. More in ONDE app.… https://t.co/63Zr5qI3zp",1
2,"ML 3.6 (4 min ago)
2km 41.97°N 125.71°W
Oct 28, 2019 11:46:34 UTC
#earthquake",1
3,"USGS reports a M3.62 #earthquake 117km WSW of Gold Beach, OR on 10/28/19 @ 11:46:34 UTC https://t.co/2fYvjEMsky #quake",1
4,"【Ml3.6】OFF COAST OF NORTHERN CALIFORNIA Depth 2km Oct 28, 2019 11:46:34 UTC (G)https://t.co/xZ46lCzaG8 (EMSC)https://t.co/k9jbU1nubp",0
5,"Ml 3.62 earthquake (automatic) occured at 2019-10-28T11:46:34 UTC, 117km WSW of Gold Beach, OR https://t.co/iAUsRpbaqz",1
6,"3.6 magnitude #earthquake. 117 km from #GoldBeach, OR, United States https://t.co/7MqByKb8IT",1
7,"4.9 magnitude #earthquake. 121 km from Brookings, #OR, United States https://t.co/ym4UilZTij",1
8,"Mb 4.9 earthquake (reviewed) occured at 2019-10-28T11:01:04 UTC, 120km W of Brookings, Oregon https://t.co/kMyb1rsgQ4",1
9,"USGS reports a M4.9 #earthquake 120km W of Brookings, Oregon on 10/28/19 @ 11:01:04 UTC https://t.co/aStYjTLCef #quake",1
0,"2.4 magnitude #earthquake. 13 km from ##SearlesValley, CA, United States https://t.co/WaDG18U8fy",1
1,"2.4 magnitude #earthquake. 8 mi from #SearlesValley, CA, United States https://t.co/Q6dsv7v9zx",1
2,"California, United States of America
ML 2.4 (4 min ago)
7km 35.66°N 117.46°W
Oct 28, 2019 17:02:55 UTC
#earthquake",1
3,"USGS reports a M2.38 #earthquake 13km SSW of Searles Valley, CA on 10/28/19 @ 17:02:55 UTC https://t.co/gp3UwuwmNH #quake",1
4,"USGS reports a M1.34 #earthquake 12km SSW of Searles Valley, CA on 10/28/19 @ 16:42:50 UTC https://t.co/mr7srjsw4t #quake",1
5,"USGS reports a M0.51 #earthquake 12km SW of Searles Valley, CA on 10/28/19 @ 15:16:24 UTC https://t.co/ai7lzzZOjP #quake",1
6,"USGS reports a M1.04 #earthquake 11km SW of Searles Valley, CA on 10/28/19 @ 14:19:36 UTC https://t.co/sl6VZV7R93 #quake",1
7,"1.6 magnitude #earthquake. 14 km from ##SearlesValley, CA, United States https://t.co/GM5ExeM9WJ",1
8,"1.6 magnitude #earthquake. 9 mi from #SearlesValley, CA, United States https://t.co/jqs78SdhJB",1
9,"USGS reports a M1.55 #earthquake 14km SSW of Searles Valley, CA on 10/28/19 @ 13:26:46 UTC https://t.co/wTQm1AbPOG #quake",1
10,"2.5 magnitude #earthquake. 14 km from Ridgecrest, #CA, #UnitedStates https://t.co/xXsJWuoafj",1
11,"2.5 magnitude #earthquake. 9 mi from Ridgecrest, CA, #UnitedStates https://t.co/yhU0IuXDg0",1
12,"Ml 2.45 earthquake (automatic) occured at 2019-10-28T11:44:13 UTC, 14km ENE of Ridgecrest, CA https://t.co/NdBSifiNT4",1
13,"USGS reports a M2.47 #earthquake 14km NE of Ridgecrest, CA on 10/28/19 @ 11:44:13 UTC https://t.co/UyPH6Fv89d #quake",1
14,"California, United States of America
ML 2.5 (3 min ago)
10km 35.69°N 117.55°W
Oct 28, 2019 11:44:13 UTC
#earthquake",1
15,"Ml 2.47 earthquake (automatic) occured at 2019-10-28T11:44:13 UTC, 14km NE of Ridgecrest, CA https://t.co/NdBSifiNT4",1
16,"USGS reports a M1.31 #earthquake 13km SSW of Searles Valley, CA on 10/28/19 @ 11:39:44 UTC https://t.co/r3UM8rL74T #quake",1
17,"1.9 magnitude #earthquake. 13 km from Ridgecrest, CA, #UnitedStates https://t.co/GOyby8WRrE",1
18,"1.9 magnitude #earthquake. 8 mi from Ridgecrest, #CA, United States https://t.co/01LXB94Pq2",1
19,"California, United States of America
ML 2.1 (5 min ago)
0km 35.67°N 117.55°W
Oct 28, 2019 11:18:22 UTC
#earthquake",1
20,"USGS reports a M2.1 #earthquake 13km ENE of Ridgecrest, CA on 10/28/19 @ 11:18:22 UTC https://t.co/duuerHbMY6 #quake",1
21,"USGS reports a M1.44 #earthquake 14km ENE of Ridgecrest, CA on 10/28/19 @ 11:05:36 UTC https://t.co/pqn6rmlt7U #quake",1
22,"USGS reports a M1.44 #earthquake 8km SW of Searles Valley, CA on 10/28/19 @ 8:53:26 UTC https://t.co/Gb7VTGj1zA #quake",1
23,"USGS reports a M1.26 #earthquake 15km ENE of Ridgecrest, CA on 10/28/19 @ 0:28:36 UTC https://t.co/Tek0fHUo5A #quake",1
24,"USGS reports a M1.57 #earthquake 8km WSW of Searles Valley, CA on 10/27/19 @ 18:53:18 UTC https://t.co/k06Xe6mSit #quake",1
25,"USGS reports a M1.07 #earthquake 11km SSW of Searles Valley, CA on 10/27/19 @ 12:21:56 UTC https://t.co/k8lz8V4NWH #quake",1
26,"USGS reports a M0.65 #earthquake 14km NE of Ridgecrest, CA on 10/27/19 @ 10:24:00 UTC https://t.co/MXgXRIijsh #quake",1
27,"2.7 magnitude #earthquake. 13 km from Searles Valley, #CA, United States https://t.co/j2pc97GGa1",1
28,"2.7 magnitude #earthquake. 8 mi from Searles Valley, #CA, United States https://t.co/t4j9nGFIlC",1
29,"Ml 2.71 earthquake (automatic) occured at 2019-10-27T07:33:27 UTC, 13km SSW of Searles Valley, CA https://t.co/vylCIZj4vd",1
30,"USGS reports a M2.75 #earthquake 14km SSW of Searles Valley, CA on 10/27/19 @ 7:33:27 UTC https://t.co/F5n3Of3wqs #quake",1
31,"California, United States of America
ML 2.8 (4 min ago)
6km 35.66°N 117.48°W
Oct 27, 2019 07:33:27 UTC
#earthquake",1
32,"Ml 2.75 earthquake (automatic) occured at 2019-10-27T07:33:27 UTC, 14km SSW of Searles Valley, CA https://t.co/vylCIZj4vd",1
33,"1.5 magnitude #earthquake. 5 mi from Searles Valley, CA, #UnitedStates https://t.co/NokcPDXZoW",1
34,"USGS reports a M1.48 #earthquake 9km WSW of Searles Valley, CA on 10/27/19 @ 6:54:43 UTC https://t.co/QtktNkzM2y #quake",1
35,"1.6 magnitude #earthquake. 13 km from ##Ridgecrest, CA, United States https://t.co/5FzNcaaTb7",1
36,"1.6 magnitude #earthquake. 8 mi from #Ridgecrest, CA, United States https://t.co/nxsotxb2Oi",1
37,"USGS reports a M1.61 #earthquake 14km ENE of Ridgecrest, CA on 10/27/19 @ 6:24:48 UTC https://t.co/W77tQSqjlv #quake",1
38,"USGS reports a M1.3 #earthquake 12km SSW of Searles Valley, CA on 10/27/19 @ 5:49:57 UTC https://t.co/R2kxGS955S #quake",1
39,"USGS reports a M0.75 #earthquake 13km SW of Searles Valley, CA on 10/27/19 @ 4:56:18 UTC https://t.co/5oxwG5g1CF #quake",1
40,"USGS reports a M1.01 #earthquake 12km WSW of Searles Valley, CA on 10/27/19 @ 4:54:18 UTC https://t.co/xYtxclQC74 #quake",1
41,"2.0 magnitude #earthquake. 9 mi from Searles Valley, CA, #UnitedStates https://t.co/IAfTRVNoLp",1
42,"California, United States of America
ML 2.0 (4 min ago)
4km 35.74°N 117.56°W
Oct 27, 2019 04:32:59 UTC
#earthquake",1
43,"USGS reports a M2.05 #earthquake 14km W of Searles Valley, CA on 10/27/19 @ 4:32:59 UTC https://t.co/9eYREtIrIg #quake",1
44,"USGS reports a M1.01 #earthquake 14km W of Searles Valley, CA on 10/27/19 @ 4:31:20 UTC https://t.co/RZWWbZmADk #quake",1
45,"USGS reports a M1.58 #earthquake 14km SW of Searles Valley, CA on 10/27/19 @ 4:28:06 UTC https://t.co/PyvD3GT2UC #quake",1
46,"USGS reports a M1.04 #earthquake 14km WSW of Searles Valley, CA on 10/27/19 @ 2:32:52 UTC https://t.co/45GvzjEoze #quake",1
47,"USGS reports a M0.95 #earthquake 13km ENE of Ridgecrest, CA on 10/27/19 @ 0:46:06 UTC https://t.co/Dozr0VLluD #quake",1
48,"USGS reports a M0.71 #earthquake 15km NE of Ridgecrest, CA on 10/27/19 @ 0:08:34 UTC https://t.co/p6gVXQIgMo #quake",1
49,"USGS reports a M1.07 #earthquake 15km SW of Searles Valley, CA on 10/26/19 @ 23:32:28 UTC https://t.co/XhkjY6zHPj #quake",1
50,"2.0 magnitude #earthquake. 15 km from Searles Valley, #CA, United States https://t.co/NRvZuBSgDJ",1
51,"2.0 magnitude #earthquake. 9 mi from Searles Valley, #CA, United States https://t.co/o9WAQSTwap",1
52,"USGS reports a M2.01 #earthquake 15km SW of Searles Valley, CA on 10/26/19 @ 23:21:05 UTC https://t.co/8INsXZblky #quake",1
53,"California, United States of America
ML 2.0 (3 min ago)
7km 35.66°N 117.50°W
Oct 26, 2019 23:21:05 UTC
#earthquake",1
54,"USGS reports a M1 #earthquake 14km SSW of Searles Valley, CA on 10/26/19 @ 22:43:10 UTC https://t.co/56FkvCZr1r #quake",1
55,"USGS reports a M0.93 #earthquake 15km SW of Searles Valley, CA on 10/26/19 @ 22:31:08 UTC https://t.co/BDXcItiZwh #quake",1
56,"USGS reports a M1.55 #earthquake 13km SSW of Searles Valley, CA on 10/26/19 @ 22:00:37 UTC https://t.co/fnAJ7nfmhQ #quake",1
57,"USGS reports a M0.77 #earthquake 14km SW of Searles Valley, CA on 10/26/19 @ 20:32:28 UTC https://t.co/ub4zGR2kNB #quake",1
58,"USGS reports a M0.7 #earthquake 14km SSW of Searles Valley, CA on 10/26/19 @ 18:44:35 UTC https://t.co/KSFcGfHA6C #quake",1
59,"USGS reports a M1.28 #earthquake 15km ENE of Ridgecrest, CA on 10/26/19 @ 17:24:35 UTC https://t.co/xpT2TSVZuy #quake",1
60,"USGS reports a M1.32 #earthquake 11km SSW of Searles Valley, CA on 10/26/19 @ 17:15:46 UTC https://t.co/wl5EEgkqrw #quake",1
61,"USGS reports a M0.75 #earthquake 16km W of Searles Valley, CA on 10/26/19 @ 17:07:03 UTC https://t.co/9EPQbjJ8W2 #quake",1
62,"USGS reports a M1.63 #earthquake 13km WSW of Searles Valley, CA on 10/26/19 @ 16:54:56 UTC https://t.co/zHcSQA46nE #quake",1
63,"USGS reports a M1.41 #earthquake 14km SW of Searles Valley, CA on 10/26/19 @ 16:21:08 UTC https://t.co/b0HIYw151H #quake",1
64,"USGS reports a M1.08 #earthquake 14km SW of Searles Valley, CA on 10/26/19 @ 15:42:39 UTC https://t.co/nJORsFjU0q #quake",1
65,"USGS reports a M0.5 #earthquake 13km WSW of Searles Valley, CA on 10/26/19 @ 15:11:27 UTC https://t.co/TIa4OlZNBP #quake",1
66,"USGS reports a M1.32 #earthquake 14km SSW of Searles Valley, CA on 10/26/19 @ 15:01:22 UTC https://t.co/o79TW1adx7 #quake",1
67,"USGS reports a M1 #earthquake 12km NE of Ridgecrest, CA on 10/26/19 @ 13:51:33 UTC https://t.co/f2CDDSL04a #quake",1
68,"USGS reports a M1.3 #earthquake 15km SW of Searles Valley, CA on 10/26/19 @ 13:40:43 UTC https://t.co/i9OqH1Va7L #quake",1
69,"USGS reports a M0.56 #earthquake 13km SSW of Searles Valley, CA on 10/26/19 @ 13:10:29 UTC https://t.co/ldnv8wkP8k #quake",1
70,"USGS reports a M0.98 #earthquake 15km W of Searles Valley, CA on 10/26/19 @ 12:29:04 UTC https://t.co/LpyXRYXkTb #quake",1
71,"USGS reports a M0.99 #earthquake 14km ENE of Ridgecrest, CA on 10/26/19 @ 12:24:26 UTC https://t.co/vxPGc5kfHN #quake",1
72,"USGS reports a M1.46 #earthquake 15km SW of Searles Valley, CA on 10/26/19 @ 11:41:07 UTC https://t.co/4SAdW58AgK #quake",1
73,"1.9 magnitude #earthquake. 13 km from #SearlesValley, #CA, United States https://t.co/cVGytnwaWB",1
74,"1.9 magnitude #earthquake. 8 mi from #SearlesValley, CA, United States https://t.co/StmhA0yd9y",1
75,"USGS reports a M1.94 #earthquake 13km SSW of Searles Valley, CA on 10/26/19 @ 10:10:03 UTC https://t.co/iHrSlmPPfc #quake",1
76,"USGS reports a M1.3 #earthquake 12km SW of Searles Valley, CA on 10/26/19 @ 9:37:29 UTC https://t.co/BTWUzWgCyY #quake",1
